"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","Output:target(t+1)","Output:target(t+2)","Output:target(t+3)"
543,759.249,740.620,718.362,0.709,3.303,13.776,3847558.692,12149621.752,5902384.374,-0.877,37948927.319,765.740,642.4142158117,651.4274548329,652.4450435498
544,761.413,743.012,719.916,1.580,4.424,17.393,6755442.968,12189773.159,6121034.444,0.078,38095051.917,770.170,656.3541713898,656.8730010141,644.1695055899
545,764.332,745.599,721.563,1.916,4.342,16.159,7574633.115,11906272.230,6222410.804,0.614,39372204.099,773.950,664.6371642623,662.1112250321,640.7468816066
546,767.538,748.299,723.281,-0.213,4.379,16.226,8628792.970,11794923.702,6370433.816,0.270,40138351.097,785.370,643.1313184481,658.2197450253,656.8298609437
547,773.482,751.829,725.317,3.472,6.133,19.167,17267135.734,13961485.374,7294151.437,0.634,42057069.385,782.420,656.1618481192,665.4718406926,650.0804178807
548,776.461,754.743,727.189,2.178,8.181,19.902,9379895.422,12022811.986,6845340.400,0.875,43952889.606,780.700,661.3634777037,665.5093589449,645.7835785066
549,777.874,757.215,728.943,1.367,7.693,20.616,5187468.482,10573269.378,6516070.702,-0.688,42673639.061,782.860,659.3650068503,666.1803979612,651.0906190941
550,779.536,759.657,730.711,1.151,9.462,20.965,4320994.721,9812772.027,6387283.046,0.074,42762722.332,787.820,667.9553049692,671.2436459108,647.5824710404
551,782.297,762.339,732.583,0.312,10.755,17.900,5749558.561,9697906.714,6460050.364,0.832,44206892.749,792.890,671.7201898785,673.1045623565,647.3290899906
552,785.828,765.249,734.561,1.338,12.545,18.347,8446598.770,10092456.474,6702038.194,0.880,46610454.566,806.850,656.8067655652,672.1487712837,661.4781516906
553,792.836,769.211,736.931,3.350,14.794,21.172,19278938.860,13030662.433,7824712.976,0.974,49468303.720,792.460,667.1607645761,674.6036455146,655.2414547192
554,792.710,771.425,738.751,1.226,6.873,18.637,-410296.530,8000240.552,6263615.262,-0.922,46918940.544,795.530,675.1450754759,672.802427364,648.8699923074
555,793.650,773.721,740.613,0.979,5.532,20.325,3319429.153,8264872.930,6411656.745,-0.394,45534758.396,799.710,679.9903744289,675.0934432724,649.5776353665
556,795.670,776.196,742.551,0.860,6.109,19.233,5074929.102,8295449.699,6482944.360,0.587,46739617.256,790.770,685.8038618506,679.0404891926,648.6651286419
557,794.037,777.584,744.132,-1.993,5.333,15.665,-3491597.772,5541154.345,5594170.725,-0.969,44504703.256,790.130,656.1229546772,672.4556202181,665.8843329366
558,792.735,778.779,745.640,-0.294,4.836,14.199,-2798144.435,4879021.763,5364485.201,-0.008,44487520.978,799.780,661.7557721203,675.6905890613,661.9032528657
559,795.083,780.779,747.415,0.534,6.096,14.521,4659626.960,6278654.905,5830409.284,0.271,45037777.979,801.200,671.107230896,675.7263086015,652.7627196027
560,797.122,782.724,749.178,0.186,6.022,15.239,4178931.667,5987120.255,5744741.474,-0.943,42901165.248,806.190,652.2855936943,668.3022742081,665.7885949708
