NUM,EMA_5,EMA_20,EMA_60,ROC_5,ROC_20,ROC_60,FORCE_5,FORCE_20,FORCE_60,MFM,ACDL,TARGET
240,73.671,73.228,71.332,-1.211,-1.425,2.614,-2065851.001,4039.035,943358.262,-0.669,45094597.160,70.490
241,72.610,72.967,71.305,-6.138,-5.800,1.192,-5253408.001,-1103823.920,531165.467,-0.451,42633240.549,71.390
242,72.204,72.817,71.307,-4.033,-4.546,1.005,-2466303.600,-702706.861,615648.737,0.129,43077227.007,70.690
243,71.699,72.614,71.287,-5.229,-3.111,1.304,-2475972.267,-873430.932,513650.103,0.580,45144769.247,69.380
244,70.926,72.306,71.225,-4.462,-6.521,-0.130,-3087288.061,-1200715.572,355500.275,-0.678,42913609.649,67.970
245,69.941,71.893,71.118,-3.575,-12.825,-1.393,-3716583.751,-1560187.910,180724.032,-0.422,41425026.664,67.710
246,69.197,71.495,71.006,-5.155,-11.409,-1.770,-2573813.734,-1439053.224,165347.057,-0.650,40704342.414,69.490
247,69.295,71.304,70.956,-1.698,-4.481,5.608,455721.211,-681544.240,373525.550,0.006,40724789.314,70.150
248,69.580,71.194,70.930,1.110,-1.475,8.156,1012900.980,-414039.025,431025.057,-0.521,39046079.939,73.450
249,70.870,71.409,71.013,8.062,1.717,8.190,5359419.320,963722.406,877629.351,0.925,42985025.939,73.200
250,71.647,71.579,71.084,8.108,0.109,8.670,3373352.130,814912.439,829222.413,-0.497,41795392.330,70.420
251,71.238,71.469,71.063,1.338,-2.869,8.322,-4369912.547,-1153787.975,151003.911,-0.511,38148904.514,70.360
252,70.945,71.363,71.040,0.299,-3.511,6.816,-2990269.491,-1065901.823,138479.737,-0.402,36600646.351,72.320
253,71.403,71.454,71.082,-1.538,-3.173,7.300,538997.779,-240812.857,383038.838,0.559,38767243.020,71.730
254,71.512,71.481,71.103,-2.008,-0.278,3.253,-801651.660,-549587.874,256285.088,0.405,41157838.012,69.890
255,70.972,71.329,71.063,-0.753,-4.925,-0.654,-2727641.454,-1123876.747,32157.019,-0.823,38213973.188,71.230
256,71.058,71.320,71.069,1.236,-5.153,2.093,-303955.616,-584134.575,180067.151,0.587,40203504.089,69.040
257,70.385,71.103,71.002,-4.535,-7.192,-0.346,-2983340.667,-1322989.451,-99348.519,-0.393,38706509.992,68.050
258,69.607,70.812,70.905,-5.130,-8.768,0.502,-3403606.088,-1601193.973,-235243.221,-0.728,35587391.942,67.720
259,68.978,70.517,70.801,-3.105,-6.747,2.824,-2628588.785,-1551418.754,-262892.760,-0.008,35561656.934,68.410
260,68.789,70.317,70.722,-3.959,-2.951,6.359,-1073054.864,-1209568.113,-187453.228,0.122,35921857.178,68.140
